Site,Saplings_before_50,Samplings_after_50,Saplings_before_100,Saplings_after_100,Saplings_before_150,Saplings_after_150,Saplings_before_200,Saplings_after_200,Saplings_total_before,Saplings_total_after,Type,Habitat
WD4PeatT1,55,69,0,1,0,0,0,0,55,70,Treatment,Conifer_Peat
WD4PeatC1,0,9,0,0,0,0,0,0,0,9,Control,Conifer_Peat
WD4PeatT2,32,37,2,9,1,1,0,1,35,48,Treatment,Conifer_Peat
WD4PeatC2,18,3,0,0,0,0,0,0,18,3,Control,Conifer_Peat
WD4PeatT3,5,8,0,0,0,0,0,0,5,8,Treatment,Conifer_Peat
WD4PeatC3,33,19,0,0,0,0,0,0,33,19,Control,Conifer_Peat
WD4PeatT4,36,32,4,6,0,0,1,0,41,38,Treatment,Conifer_Peat
WD4PeatC4,30,22,4,3,0,0,1,0,35,25,Control,Conifer_Peat
WD1T1,0,0,0,0,0,0,0,0,0,0,Treatment,Broadleaf
WD1C1,0,0,0,0,0,0,0,0,0,0,Control,Broadleaf
WD1T2,0,0,0,0,0,0,0,0,0,0,Treatment,Broadleaf
WD1C2,0,1,0,0,0,0,0,0,0,1,Control,Broadleaf
WD1T3,0,3,0,0,0,0,0,0,0,3,Treatment,Broadleaf
WD1C3,0,0,0,0,0,0,0,0,0,0,Control,Broadleaf
WD1T4,2,4,0,0,0,0,0,0,2,4,Treatment,Broadleaf
WD1C4,3,0,0,0,0,0,0,0,3,0,Control,Broadleaf
WD4MinT1,5,17,0,0,0,0,0,0,5,17,Treatment,Conifer_Mineral
WD4MinC1,3,4,0,0,0,0,0,0,3,4,Control,Conifer_Mineral
WD4MinT2,13,44,0,0,0,0,0,0,13,44,Treatment,Conifer_Mineral
WD4MinC2,1,4,0,0,0,0,0,0,1,4,Control,Conifer_Mineral
WD4MinT3,23,30,0,0,0,0,0,0,23,30,Treatment,Conifer_Mineral
WD4MinC3,301,8,0,0,0,0,0,0,301,8,Control,Conifer_Mineral
WD4MinT4,21,56,0,0,0,0,0,0,21,56,Treatment,Conifer_Mineral
WD4MinC4,8,30,0,0,0,0,0,0,8,30,Control,Conifer_Mineral
HH1T1,0,0,0,0,0,0,0,0,0,0,Treatment,Dry_Heath
HH1C1,0,0,0,0,0,0,0,0,0,0,Control,Dry_Heath
HH1T2,0,0,0,0,0,0,0,0,0,0,Treatment,Dry_Heath
HH1C2,0,0,0,0,0,0,0,0,0,0,Control,Dry_Heath
HH1T3,0,0,0,0,0,0,0,0,0,0,Treatment,Dry_Heath
HH1C3,1,0,0,0,0,0,0,0,1,0,Control,Dry_Heath
HH1T4,0,0,0,0,0,0,0,0,0,0,Treatment,Dry_Heath
HH1C4,1,0,0,0,0,0,0,0,1,0,Control,Dry_Heath
GS3T1,0,2,0,0,0,0,0,0,0,2,Treatment,Dry_Grassland
GS3C1,0,0,0,0,0,0,0,0,0,0,Control,Dry_Grassland
GS3T2,0,0,0,0,0,0,0,0,0,0,Treatment,Dry_Grassland
GS3C2,0,0,0,0,0,0,0,0,0,0,Control,Dry_Grassland
GS3T3,0,0,0,0,0,0,0,0,0,0,Treatment,Dry_Grassland
GS3C3,0,0,0,0,0,0,0,0,0,0,Control,Dry_Grassland
GS3T4,0,0,0,0,0,0,0,0,0,0,Treatment,Dry_Grassland
GS3C4,0,0,0,0,0,0,0,0,0,0,Control,Dry_Grassland
