Site,Saplings_before_broadleaf,Saplings_after_broadleaf,Saplings_before_conifer,Saplings_after_conifer,Type,Habitat
WD4PeatT1,53,68,2,1,Treatment,Conifer_Peat
WD4PeatC1,0,9,0,0,Control,Conifer_Peat
WD4PeatT2,32,37,0,0,Treatment,Conifer_Peat
WD4PeatC2,17,3,0,0,Control,Conifer_Peat
WD4PeatT3,5,6,0,4,Treatment,Conifer_Peat
WD4PeatC3,26,18,7,1,Control,Conifer_Peat
WD4PeatT4,41,32,0,0,Treatment,Conifer_Peat
WD4PeatC4,26,19,2,3,Control,Conifer_Peat
WD1T1,0,0,0,0,Treatment,Broadleaf
WD1C1,0,0,0,0,Control,Broadleaf
WD1T2,0,0,0,0,Treatment,Broadleaf
WD1C2,0,1,0,0,Control,Broadleaf
WD1T3,0,3,0,0,Treatment,Broadleaf
WD1C3,0,0,0,0,Control,Broadleaf
WD1T4,2,4,0,0,Treatment,Broadleaf
WD1C4,3,0,0,0,Control,Broadleaf
WD4MinT1,4,17,0,0,Treatment,Conifer_Mineral
WD4MinC1,3,3,0,1,Control,Conifer_Mineral
WD4MinT2,10,41,3,3,Treatment,Conifer_Mineral
WD4MinC2,1,4,0,0,Control,Conifer_Mineral
WD4MinT3,23,30,0,0,Treatment,Conifer_Mineral
WD4MinC3,271,8,30,0,Control,Conifer_Mineral
WD4MinT4,8,49,13,7,Treatment,Conifer_Mineral
WD4MinC4,7,30,1,0,Control,Conifer_Mineral
HH1T1,0,0,0,0,Treatment,Dry_Heath
HH1C1,0,0,0,0,Control,Dry_Heath
HH1T2,0,0,0,0,Treatment,Dry_Heath
HH1C2,0,0,0,0,Control,Dry_Heath
HH1T3,0,0,0,0,Treatment,Dry_Heath
HH1C3,1,0,0,0,Control,Dry_Heath
HH1T4,0,0,0,0,Treatment,Dry_Heath
HH1C4,1,0,0,0,Control,Dry_Heath
GS3T1,0,0,0,2,Treatment,Dry_Grassland
GS3C1,0,0,0,0,Control,Dry_Grassland
GS3T2,0,0,0,0,Treatment,Dry_Grassland
GS3C2,0,0,0,0,Control,Dry_Grassland
GS3T3,0,0,0,0,Treatment,Dry_Grassland
GS3C3,0,0,0,0,Control,Dry_Grassland
GS3T4,0,0,0,0,Treatment,Dry_Grassland
GS3C4,0,0,0,0,Control,Dry_Grassland
